rank,name,nota
976,Antike,7.09
977,Tiny Epic Dinosaurs,7.35
978,Herbaceous,7.04
979,La Città,7.02
980,Rivals for Catan,6.95
981,Riverboat,7.43
982,Manila,6.98
983,Discoveries: The Journals of Lewis & Clark,7.03
984,History of the World,7.11
985,Automobiles,7.22
986,Ascension: Return of the Fallen,7.27
987,Star Trek: Frontiers,7.83
988,Black Fleet,7.00
989,Winner's Circle,6.99
990,Cottage Garden,6.86
991,Wildlands,7.28
992,Empires of the Void II,7.48
993,Majesty: For the Realm,6.95
994,Irish Gauge,7.26
995,Mint Works,6.95
996,Reavers of Midgard,7.40
997,The City of Kings,7.56
998,Mr. Jack Pocket,6.85
999,Legendary Encounters: A Predator Deck Building Game,7.41
1000,Yedo: Deluxe Master Set,7.99
1001,Unmatched Game System,8.30
1002,World's Fair 1893,7.16
1003,Era: Medieval Age,7.22
1004,Ticket to Ride: London,7.12
1005,Railroad Revolution,7.34
1006,"Hey, That's My Fish!",6.69
1007,Feed the Kraken,8.00
1008,Fields of Green,7.14
1009,Star Wars: The Queen's Gambit,7.55
1010,A Study in Emerald,7.20
1011,Ecos: First Continent,7.15
1012,Firenze,7.24
1013,Valley of the Kings,7.02
1014,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.60
1015,Smash Up: Pretty Pretty Smash Up,7.24
1016,Unsettled,8.09
1017,Ticket to Ride: New York,6.94
1018,Wiz-War (Eighth Edition),7.05
1019,Little Town,7.21
1020,Cockroach Poker,6.78
1021,"Warhammer 40,000: Conquest",7.36
1022,ICECOOL,6.79
1023,Archaeology: The New Expedition,7.13
1024,Marvel Dice Masters: Uncanny X-Men,7.16
1025,Merchant of Venus (Second Edition),7.14
1026,Falling Sky: The Gallic Revolt Against Caesar,7.85
1027,Roll Player Adventures,8.28
1028,Dice Town,6.86
1029,Rajas of the Ganges: The Dice Charmers,7.57
1030,Polis: Fight for the Hegemony,7.52
1031,Space Hulk (Fourth Edition),7.93
1032,Outfoxed!,7.17
1033,Zombicide Season 3: Rue Morgue,7.51
1034,Nations: The Dice Game,6.95
1035,Islebound,7.17
1036,Container: 10th Anniversary Jumbo Edition!,7.67
1037,A Distant Plain,7.83
1038,NMBR 9,6.87
1039,CO₂,7.11
1040,Paper Tales,7.03
1041,The Lord of the Rings,6.74
1042,The Reckoners,7.70
1043,Star Wars: The Clone Wars,7.72
1044,Verdant,7.48
1045,Alma Mater,7.40
1046,Via Nebula,7.03
1047,Rex: Final Days of an Empire,7.06
1048,Merchants of the Dark Road,7.43
1049,Tales & Games: The Hare & the Tortoise,7.08
1050,Rallyman: GT,7.23
1051,Linko!,6.99
1052,Fauna,7.03
1053,Shikoku 1889,7.94
1054,Metropolys,7.03
1055,Quarto,6.88
1056,Smash Up: Monster Smash,7.26
1057,Super Fantasy Brawl,7.75
1058,The Big Book of Madness,6.91
1059,Loony Quest,6.89
1060,Zendo,7.22
1061,Two Rooms and a Boom,6.99
1062,Ghost Fightin' Treasure Hunters,7.14
1063,When I Dream,6.98
1064,Wilderness War,7.71
1065,Vinci,7.07
1066,Tide of Iron,7.20
1067,Explorers of the North Sea,7.29
1068,Runebound: Second Edition,6.89
1069,CuBirds,6.94
1070,Hardback,7.19
1071,Moonrakers,7.80
1072,Axis & Allies Anniversary Edition,7.43
1073,First Rat,7.65
1074,Terror in Meeple City,6.83
1075,Stronghold,7.14
1076,Smash Up,6.71
1077,Thunderstone: Dragonspire,7.32
1078,Imperial Steam,7.86
1079,Dream Home,6.88
1080,Startups,7.17
1081,Netrunner,7.43
1082,Mr. Jack in New York,7.19
1083,Tsuro,6.67
1084,Quarriors!,6.74
1085,Top Ten,7.52
1086,Tawantinsuyu: The Inca Empire,7.47
1087,Ambush!,7.50
1088,China,6.98
1089,Batman: Gotham City Chronicles,7.64
1090,Star Wars: Legion,8.03
1091,Codex Naturalis,7.24
1092,Ikusa,7.02
1093,Spicy,7.17
1094,Set a Watch,7.26
1095,Merlin,7.13
1096,Trekking Through History,7.79
1097,The Castles of Tuscany,7.26
1098,Men at Work,7.24
1099,Ready Set Bet,7.70
1100,Coconuts,7.03
1101,BattleCON: War of Indines,7.66
1102,The Prodigals Club,7.30
1103,Eight-Minute Empire: Legends,6.93
1104,Mottainai,7.03
1105,Shadow Hunters,6.82
1106,Haggis,6.98
1107,Animal Upon Animal,6.79
1108,Wendake,7.50
1109,Automania,7.32
1110,Small World of Warcraft,7.36
1111,Shadowrun: Crossfire,7.13
1112,Pictomania (Second Edition),7.60
1113,Diamonds: Second Edition,6.90
1114,Oriflamme,7.13
1115,Battle Cry,7.15
1116,Insider,7.06
1117,Quartermaster General,7.32
1118,Conspiracy: Abyss Universe,7.29
1119,Deep Space D-6,7.18
1120,Yggdrasil,7.04
1121,Witness,7.25
1122,Dead Men Tell No Tales,7.12
1123,Chimera Station,7.24
1124,Encore!,6.97
1125,Domaine,6.98
1126,Loopin' Louie,6.75
1127,Three Kingdoms Redux,7.88
1128,Legacy of Dragonholt,7.23
1129,Battles of Westeros,7.25
1130,Jump Drive,6.98
1131,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.78
1132,Caesar!: Seize Rome in 20 Minutes!,7.68
1133,Skymines,8.13
1134,Honshū,6.93
1135,Faiyum,7.54
1136,Warhammer Quest,7.49
1137,Catan Card Game,6.71
1138,Unlock!: Escape Adventures – Squeek & Sausage,7.17
1139,Sushi Roll,7.05
1140,Risk: Star Wars Edition,7.01
1141,On Tour,6.97
1142,Obscurio,7.15
1143,Forum Trajanum,7.24
1144,Sons of Anarchy: Men of Mayhem,7.25
1145,Fortune and Glory: The Cliffhanger Game,7.10
1146,1812: The Invasion of Canada,7.34
1147,Jekyll vs. Hyde,7.30
1148,Vanuatu,7.22
1149,Botanik,7.71
1150,Power Grid: Factory Manager,6.84
1151,For the People,7.78
1152,No Retreat! The Russian Front,7.77
1153,Massive Darkness,7.13
1154,Machi Koro,6.61
1155,Primordial Soup,6.93
1156,Cockroach Poker Royal,7.06
1157,Andean Abyss,7.61
1158,La Isla,6.87
1159,Whistle Stop,7.08
1160,Mysterium Park,7.12
1161,Fallout,6.93
1162,Caylus Magna Carta,6.90
1163,Fallout Shelter: The Board Game,7.26
1164,The Game,6.71
1165,Watson & Holmes,7.30
1166,Circle the Wagons,7.10
1167,Plague Inc.: The Board Game,7.40
1168,Legend of the Five Rings: The Card Game,7.36
1169,Hansa,6.88
1170,Steam Park,6.84
1171,Smart10,7.51
1172,Crisis,7.52
1173,Stick 'Em,7.04
1174,Claustrophobia 1643,8.03
1175,Blueprints,6.80
1176,Witch's Brew,7.01
1177,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.30
1178,Rolling Realms,7.18
1179,Princes of the Renaissance,7.32
1180,Escape from the Aliens in Outer Space,6.93
1181,Level 7 [Omega Protocol],7.44
1182,Exit: The Game – The Sinister Mansion,7.30
1183,Tiny Epic Zombies,6.97
1184,Colossal Arena,6.77
1185,Rise of Augustus,6.73
1186,Fairy Tale,6.71
1187,Kingdomino Origins,7.60
1188,Canopy,7.44
1189,Manoeuvre,7.29
1190,Distilled,8.12
1191,Vikings Gone Wild,7.13
1192,Council of 4,7.15
1193,Cleopatra and the Society of Architects,6.80
1194,Kraftwagen,7.23
1195,Poker,6.71
1196,GIPF,7.09
1197,Agra,7.32
1198,Fleet,6.86
1199,Spirits of the Wild,7.35
1200,Ponzi Scheme,7.16
1201,Claim,6.97
1202,Horrified: American Monsters,7.59
1203,Stella: Dixit Universe,7.31
1204,World of Warcraft: Wrath of the Lich King,7.50
1205,Escape Room: The Game,6.95
1206,Cross Clues,7.29
1207,Hamburgum,7.05
1208,Fief: France 1429,7.43
1209,A Touch of Evil: The Supernatural Game,6.98
1210,Dungeon Fighter,6.81
1211,Mythos Tales,7.37
1212,New York 1901,6.80
1213,Castle Panic,6.64
1214,Thunderbolt Apache Leader,8.03
1215,Strasbourg,7.16
1216,Arkham Horror: The Card Game (Revised Edition),8.76
1217,Duelosaur Island,7.08
1218,Blokus Duo,6.83
1219,Peloponnes,7.10
1220,Odin's Ravens (Second Edition),7.02
1221,Carcassonne: South Seas,7.06
1222,Flick of Faith,7.37
1223,18Chesapeake,7.75
1224,Mille Fiori,7.42
1225,Ninjato,7.17
1226,Arkadia,6.91
1227,Exit: The Game – The Sunken Treasure,7.06
1228,Medieval Academy,6.94
1229,Folklore: The Affliction,7.73
1230,Hacienda,6.92
1231,1862: Railway Mania in the Eastern Counties,8.27
1232,Paris,7.27
1233,Street Masters,8.02
1234,Santiago de Cuba,6.89
1235,Aeon's End: Outcasts,8.57
1236,Chronicles of Crime: 1900,8.08
1237,Smash Up: It's Your Fault!,7.50
1238,Las Vegas Royale,7.45
1239,The Golden Ages,7.26
1240,Copenhagen,7.00
1241,Rattus,6.78
1242,Java,7.01
1243,Maximum Apocalypse,7.53
1244,Dungeon Twister,6.81
1245,A Game of Thrones: The Card Game,6.82
1246,Sentient,7.21
1247,Coffee Traders,7.78
1248,Ultimate Werewolf: Ultimate Edition,6.98
1249,Betrayal at Baldur's Gate,7.10
1250,Rise of Tribes,7.15
1251,Lockup: A Roll Player Tale,7.38
1252,Mission: Red Planet,6.89
1253,Thunderbirds,7.55
1254,Royals,7.17
1255,BattleTech,7.09
1256,Castell,7.43
1257,The Werewolves of Miller's Hollow,6.70
1258,Elfenland,6.69
1259,The Magic Labyrinth,6.82
1260,Dead Man's Draw,6.85
1261,Carcassonne: Winter Edition,7.50
1262,Viceroy,6.80
1263,Hostage Negotiator,6.82
1264,"The Hunters: German U-Boats at War, 1939-43",7.73
1265,Liberty or Death: The American Insurrection,7.79
1266,Keythedral,7.05
1267,Ulm,7.02
1268,Dice Throne,7.69
1269,Medina,7.02
1270,Genotype: A Mendelian Genetics Game,7.54
1271,Hellboy: The Board Game,7.83
1272,Merchant of Venus,7.14
1273,Ghost Blitz,6.71
1274,Trains: Rising Sun,7.42
1275,It's a Wonderful Kingdom,7.40
1276,Liberté,7.12
1277,Ubongo,6.69
1278,Werewords Deluxe Edition,7.55
1279,Timeline: Inventions,6.70
1280,Here I Stand: 500th Anniversary Edition,8.57
1281,Axis & Allies: Europe 1940,7.57
1282,Guildhall,6.89
1283,Evo,6.87
1284,Café,7.32
1285,Planet Steam,7.10
1286,Super-Skill Pinball: 4-Cade,7.14
1287,Rialto,6.90
1288,Dale of Merchants 2,7.29
1289,Qwinto,7.01
1290,The Fox in the Forest Duet,7.09
1291,Brew,7.16
1292,Tussie Mussie,6.95
1293,Back to the Future: Back in Time,7.27
1294,The Captain Is Dead,7.09
1295,Dark Moon,7.00
1296,Saboteur,6.55
1297,UBOOT: The Board Game,7.63
1298,Cartagena,6.68
1299,One Deck Dungeon: Forest of Shadows,7.14
1300,Fog of Love,6.73
1301,The Initiative,7.63
1302,Sylvion,7.06
1303,TransAmerica,6.68
1304,Pictures,7.21
1305,Fearsome Floors,6.67
1306,Rallyman,7.19
1307,Coloma,7.36
1308,Catacombs,7.06
1309,Cahoots,7.14
1310,Deep Madness,7.87
1311,New Angeles,7.08
1312,Carnival of Monsters,7.27
1313,KeyForge: Age of Ascension,7.26
1314,Agropolis,7.43
1315,Zombie Teenz Evolution,7.75
1316,Mariposas,6.86
1317,Keyper,7.29
1318,Conflict of Heroes: Storms of Steel! – Kursk 1943,7.69
1319,Fire & Axe: A Viking Saga,7.00
1320,Next Station: London,7.43
1321,Heroes of Normandie,7.44
1322,Wings of War: Famous Aces,6.86
1323,The Castles of Burgundy: The Dice Game,6.89
1324,Imhotep: The Duel,7.10
1325,Star Trek: Catan,6.99
1326,Warsaw: City of Ruins,7.32
1327,V-Sabotage,7.73
1328,Starship Catan,6.84
1329,Fireball Island: The Curse of Vul-Kar,6.80
1330,Exit: The Game – The Forgotten Island,6.94
1331,Wild Space,7.23
1332,Mystery Rummy: Jack the Ripper,6.95
1333,Unearth,6.85
1334,Titan,6.96
1335,Advanced Squad Leader: Starter Kit #2,7.97
1336,Eat Poop You Cat,7.45
1337,Edge of Darkness,7.51
1338,The Starfarers of Catan,6.80
1339,The Little Prince: Make Me a Planet,6.90
1340,Stardew Valley: The Board Game,7.40
1341,Welcome to the Dungeon,6.56
1342,Skulls of Sedlec,7.44
1343,Sherlock Holmes Consulting Detective: The Baker Street Irregulars,8.37
1344,Pavlov's House,7.94
1345,Kahuna,6.61
1346,Mykerinos,6.84
1347,Museum,7.20
1348,Spot it!,6.57
1349,SHŌBU,7.53
1350,Porta Nigra,7.18
1351,Riftforce,7.38
1352,Maglev Metro,7.29
1353,Villages of Valeria,7.00
1354,Tournay,6.97
1355,Doom: The Boardgame,6.85
1356,Mega Civilization,8.22
1357,Calimala,7.19
1358,Similo,6.83
1359,Room 25,6.71
1360,Aftermath,7.65
1361,The Staufer Dynasty,7.15
1362,Manhattan,6.73
1363,XenoShyft: Onslaught,6.92
1364,Star Wars: Unlock!,7.08
1365,Cosmic Encounter,6.92
1366,Heroes of Terrinoth,7.30
1367,Murano,7.18
1368,Habitats,7.38
1369,Guillotine,6.54
1370,Walking in Burano,7.13
1371,Stronghold: 2nd edition,7.47
1372,Naga Raja,7.16
1373,Say Anything,6.71
1374,Unlock!: Escape Adventures – The Formula,7.00
1375,Merkator,7.03
1376,Hegemony: Lead Your Class to Victory,8.54
1377,La Cosa Nostra,7.63
1378,Gloom of Kilforth: A Fantasy Quest Game,7.54
1379,Turn the Tide,6.78
1380,NEOM,7.31
1381,Exit: The Game – The Mysterious Museum,7.15
1382,Asara,7.00
1383,Kingdom Rush: Rift in Time,7.39
1384,Timeline: Events,6.77
1385,Barony,7.08
1386,CloudAge,7.28
1387,Yukon Airways,7.36
1388,Exit: The Game – The Polar Station,6.88
1389,Agricola: Family Edition,7.06
1390,Unlock!: Mythic Adventures,7.75
1391,Ticket to Ride: Germany,7.60
1392,Strike,6.92
1393,Battle Line: Medieval,7.67
1394,Warrior Knights,6.87
1395,Castles of Mad King Ludwig: Collector's Edition,8.43
1396,Escape the Dark Castle,7.42
1397,Pickomino,6.58
1398,Wyatt Earp,6.83
1399,Escape Tales: The Awakening,7.07
1400,Pioneer Days,7.25
1401,Gravwell: Escape from the 9th Dimension,6.88
1402,Dice City,6.74
1403,Medina (Second Edition),7.21
1404,The Thing: The Boardgame,7.71
1405,Balloon Cup,6.68
1406,Solenia,7.06
1407,Lost Cities: The Board Game,6.79
1408,Floriferous,7.58
1409,Rum & Bones: Second Tide,7.62
1410,Infinity Gauntlet: A Love Letter Game,7.02
1411,Quoridor,6.66
1412,Aton,6.86
1413,Perseverance: Castaway Chronicles – Episodes 1 & 2,7.82
1414,The Quest for El Dorado: The Golden Temples,7.73
1415,Gutenberg,7.42
1416,Ishtar: Gardens of Babylon,7.02
1417,Blue Moon,6.70
1418,Mascarade,6.58
1419,Vampire: The Eternal Struggle,7.24
1420,DC Comics Deck-Building Game: Heroes Unite,7.39
1421,Star Wars: Epic Duels,7.01
1422,Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,7.86
1423,Viral,6.95
1424,Amyitis,6.91
1425,Expedition to Newdale,7.42
1426,Robo Rally,7.01
1427,Paper Dungeons: A Dungeon Scrawler Game,7.23
1428,Ca$h 'n Gun$,6.56
1429,Galaxy Defenders,7.45
1430,Bad Company,7.39
1431,Trekking the World,7.12
1432,The Artemis Project,7.26
1433,Kitchen Rush (Revised Edition),7.55
1434,Rune Age,6.81
1435,Tides of Time,6.61
1436,Antike II,7.47
1437,The 7th Continent: Classic Edition,7.68
1438,Illusion,6.75
1439,De Vulgari Eloquentia,7.22
1440,Backgammon,6.56
1441,Imagine,6.88
1442,Löwenherz,7.03
1443,Valley of the Kings: Afterlife,7.24
1444,Atiwa,7.59
1445,Bausack,6.80
1446,Ascending Empires,7.18
1447,Le Havre: The Inland Port,6.82
1448,Trails,7.12
1449,Axis & Allies: Pacific 1940,7.52
1450,Mini Rogue,7.63
1451,Roma,6.75
1452,Meuterer,6.88
1453,Nanty Narking,7.52
1454,Roll Camera!: The Filmmaking Board Game,7.60
1455,Wildcatters,7.60
1456,Tempel des Schreckens,7.15
1457,Vagrantsong,7.78
1458,Blokus 3D,6.78
1459,Kodama: The Tree Spirits,6.69
1460,Haspelknecht: The Story of Early Coal Mining,7.23
1461,Beasty Bar,6.80
1462,Kremlin,6.97
1463,Scotland Yard,6.51
1464,Aladdin's Dragons,6.89
1465,Bargain Quest,6.89
1466,Onirim,6.64
1467,Machina Arcana (Second/Third Edition),8.03
1468,Nothing Personal,7.04
1469,Stephenson's Rocket,6.91
1470,Exit: The Game – The Catacombs of Horror,7.34
1471,Carolus Magnus,6.83
1472,Fields of Fire,7.86
1473,D-Day Dice,6.82
1474,Encyclopedia,7.57
1475,Eight-Minute Empire,6.57
1476,DOOM: The Board Game,7.43
1477,Wallenstein (Second Edition),7.59
1478,Happy Salmon,6.71
1479,Timeline: General Interest,6.77
1480,Food Chain Island,7.26
1481,Sun Tzu,7.05
1482,Tides of Madness,6.77
1483,Advanced Squad Leader: Starter Kit #3,8.05
1484,Coup: Rebellion G54,6.99
1485,Blokus Trigon,6.89
1486,Factory Fun,6.80
1487,Dungeon Degenerates: Hand of Doom,8.18
1488,Sleuth,6.90
1489,Middle-earth,7.33
1490,Omen: A Reign of War,7.32
1491,The Rose King,6.81
1492,Magic Realm,7.28
1493,Trapwords,6.98
1494,BANG!,6.50
1495,Traders of Osaka,6.82
1496,My Village,6.94
1497,Tramways,7.39
1498,Kashgar: Merchants of the Silk Road,7.08
1499,Here to Slay,6.94
1500,Skulk Hollow,7.28
1501,Necromunda,7.30
1502,Super Mega Lucky Box,7.22
1503,Gingerbread House,7.00
1504,Space Crusade,7.03
1505,Hit Z Road,6.77
1506,Yomi,6.95
1507,The Hunger,7.15
1508,Overboss: A Boss Monster Adventure,7.39
1509,Dungeons & Dragons: Temple of Elemental Evil Board Game,7.37
1510,Piepmatz,7.08
1511,Pueblo,6.95
1512,TEN,7.13
1513,Junta,6.69
1514,Renature,7.14
1515,Planet,6.69
1516,Indigo,6.85
1517,Indian Summer,6.78
1518,6 nimmt! 25 Jahre,7.42
1519,Sword of Rome,7.34
1520,Masmorra: Dungeons of Arcadia,7.05
1521,Miyabi,7.48
1522,Renegade,7.71
1523,Havana,6.85
1524,Llamaland,7.36
1525,Warhammer Quest: Blackstone Fortress,7.86
1526,Empire Builder,6.95
1527,I'm the Boss!,6.77
1528,Patchistory,7.08
1529,Sheriff of Nottingham: 2nd Edition,7.35
1530,In the Shadow of the Emperor,6.87
1531,Pixel Tactics,6.86
1532,Path of Light and Shadow,7.42
1533,Neanderthal,7.31
1534,Shogi,7.38
1535,Aerion,7.35
1536,Marrakech,6.69
1537,CV,6.60
1538,RAF: The Battle of Britain 1940,8.03
1539,Tortuga 1667,6.92
1540,Curious Cargo,7.15
1541,Power Grid: The First Sparks,6.77
1542,Pirate's Cove,6.57
1543,The Scepter of Zavandor,6.97
1544,Rune Stones,7.27
1545,Codex: Card-Time Strategy – Deluxe Set,8.02
1546,Welcome Back to the Dungeon,6.74
1547,Giants,6.96
1548,Time's Up! Edición Amarilla,7.50
1549,Ascension: Immortal Heroes,7.33
1550,Dice Settlers,6.92
1551,Mü & More,7.15
1552,Doomtown: Reloaded,7.11
1553,Kingdoms,6.65
1554,Chronicles of Avel,7.72
1555,Risk 2210 A.D.,6.68
1556,Exit: The Game – The Forbidden Castle,6.82
1557,Spyfall 2,6.88
1558,High Frontier,7.36
1559,Olympos,6.91
1560,Bloodborne: The Card Game,6.89
1561,The Rich and the Good,7.10
1562,Oceanos,6.81
1563,1856: Railroading in Upper Canada from 1856,7.51
1564,Aristeia!,8.21
1565,The Great Dalmuti,6.58
1566,Revolution!,6.72
1567,The Red Dragon Inn 2,6.92
1568,Tiny Epic Kingdoms,6.56
1569,Campy Creatures,7.05
1570,Chocolate Factory,7.11
1571,Aquaretto,6.98
1572,Unlock!: Secret Adventures – The Adventurers of Oz,7.39
1573,The Bottle Imp,6.73
1574,Ingenious: Travel Edition,7.09
1575,Mystery of the Abbey,6.54
1576,Ad Astra,6.86
1577,Star Wars: Jabba's Palace – A Love Letter Game,7.29
1578,Karak,7.23
1579,Android,6.74
1580,Wars of the Roses: Lancaster vs. York,7.36
1581,Navajo Wars,7.94
1582,GKR: Heavy Hitters,7.61
1583,Fireteam Zero,7.50
1584,The Civil War 1861-1865,7.73
1585,Keep the Heroes Out!,8.07
1586,1817,8.63
1587,Walnut Grove,6.98
1588,Ogre,6.95
1589,Adventure Land,6.91
1590,Stroganov,7.31
1591,Drop It,6.91
1592,World of Warcraft: The Boardgame,6.70
1593,Harry Potter: Hogwarts Battle – Defence Against the Dark Arts,7.17
1594,SET,6.50
1595,Thanos Rising: Avengers Infinity War,7.11
1596,Age of Renaissance,7.09
1597,Century: Golem Edition – An Endless World,7.60
1598,Hoplomachus: Victorum,8.78
1599,Call of Cthulhu: The Card Game,6.89
1600,The Ancient World (Second Edition),7.56
1601,Arctic Scavengers,6.79
1602,Minecraft: Builders & Biomes,6.98
1603,1849: The Game of Sicilian Railways,8.18
1604,Sanctum,7.10
1605,Oregon,6.76
1606,Bios: Megafauna (Second Edition),7.65
1607,PitchCar Mini,6.97
1608,Axis & Allies,6.69
1609,Pergamon,6.91
1610,Warfighter: The Tactical Special Forces Card Game,7.71
1611,Ys,6.89
1612,The Climbers,6.79
1613,On the Underground,6.91
1614,Lands of Galzyr,8.25
1615,Bruxelles 1897,7.24
1616,Pendragon: The Fall of Roman Britain,7.93
1617,Power Struggle,6.97
1618,Unconditional Surrender! World War 2 in Europe,8.12
1619,Himalaya,7.00
1620,Troyes Dice,7.06
1621,Euthia: Torment of Resurrection,8.70
1622,Beyond Balderdash,6.82
1623,Adventure Games: The Dungeon,6.97
1624,Iwari,7.14
1625,Otys,6.98
1626,Rise of Empires,7.03
1627,Disney Villainous: Despicable Plots,7.59
1628,Cosmic Encounter: 42nd Anniversary Edition,8.26
1629,Kamisado,6.94
1630,Timeline: Discoveries,6.71
1631,Railroad Ink Challenge: Shining Yellow Edition,7.61
1632,Pagan: Fate of Roanoke,8.17
1633,Human Punishment: Social Deduction 2.0,7.61
1634,Dragonfire,7.13
1635,A Study in Emerald (Second Edition),6.89
1636,Puzzle Strike: Third Edition,7.19
1637,Ave Caesar,6.63
1638,World in Flames,7.62
1639,After the Empire,7.54
1640,Century: Golem Edition – Eastern Mountains,7.38
1641,Unlock!: Mystery Adventures – The House on the Hill,7.00
1642,"Artifacts, Inc.",6.76
1643,Axis & Allies,6.57
1644,Jungle Speed,6.48
1645,The Lord of the Ice Garden,7.63
1646,Ride the Rails,7.21
1647,Sorcerer City,7.43
1648,Marrakesh,8.21
1649,Successors (Third Edition),7.53
1650,The Ancient World,6.99
1651,Mangrovia,7.17
1652,51st State,6.81
1653,Paint the Roses,7.34
1654,Beer & Bread,7.53
1655,Dungeon Mayhem,6.94
1656,A House Divided: War Between the States 1861-65,7.08
1657,The New Era,7.49
1658,New York Slice,6.71
1659,Key Flow,7.36
1660,Imaginarium,7.16
1661,Gulo Gulo,6.83
1662,Burgle Bros 2: The Casino Capers,7.40
1663,Sabika,7.96
1664,Endangered,7.56
1665,Samurai Spirit,6.62
1666,Capital Lux,7.00
1667,Battle Cry: 150th Civil War Anniversary Edition,7.64
1668,Mordheim: City of the Damned,7.32
1669,Age of Civilization,7.06
1670,Legendary Encounters: A Firefly Deck Building Game,7.09
1671,Dorfromantik: The Board Game,8.00
1672,Abandon All Artichokes,6.65
1673,Dice Miner,7.30
1674,Northgard: Uncharted Lands,7.83
1675,Flip Ships,7.02
1676,Love Letter: Adventure Time,7.24
1677,Sluff Off!,6.88
1678,Land vs Sea,7.23
1679,Virus!,6.73
1680,Carcassonne: Amazonas,7.05
1681,Cryo,7.32
1682,City of Iron,7.17
1683,Dice Throne: Season Two – Gunslinger v. Samurai,7.57
1684,Ascension: Rise of Vigil,7.16
1685,Blood Bowl: Second Season Edition,8.55
1686,After The Virus,7.27
1687,Hare & Tortoise,6.62
1688,Battle Sheep,6.62
1689,Glasgow,7.17
1690,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,7.19
1691,Leonardo da Vinci,6.73
1692,Favor of the Pharaoh,6.79
1693,The Adventurers: The Temple of Chac,6.60
1694,Treasure Hunter,6.77
1695,Metro X,7.14
1696,Wits & Wagers Party,6.90
1697,Anomia,6.68
1698,Pharaon,7.40
1699,Paranormal Detectives,7.02
1700,Rummikub,6.44
1701,Helvetia,6.98
1702,Bios: Origins (Second Edition),7.84
1703,War of the Ring: The Card Game,7.96
1704,Normandy '44,7.89
1705,The Red Dragon Inn,6.56
1706,The Great Heartland Hauling Co.,6.86
1707,Tranquility,7.01
1708,ICECOOL2,7.19
1709,New Bedford,7.07
1710,Babel,6.65
1711,Wooden Ships & Iron Men,7.06
1712,Space Cadets: Dice Duel,6.75
1713,König von Siam,6.90
1714,Transatlantic,7.04
1715,Juicy Fruits,7.11
1716,The King Is Dead,7.12
1717,Empires in Arms,7.60
1718,Cantaloop: Book 1 – Breaking into Prison,7.56
1719,Ubongo 3D,7.08
1720,Niagara,6.46
1721,Evo (Second Edition),6.94
1722,Star Trek: Attack Wing,7.50
1723,Clans,6.56
1724,The Expanse Board Game,7.18
1725,La Boca,6.97
1726,Smash Up: The Obligatory Cthulhu Set,6.73
1727,1860: Railways on the Isle of Wight,7.91
1728,Petrichor,6.94
1729,Timeline: Music & Cinema,6.72
1730,"Colonial Twilight: The French-Algerian War, 1954-62",7.72
1731,Fjords,6.74
1732,Tabannusi: Builders of Ur,7.42
1733,Cóatl,6.99
1734,Egizia: Shifting Sands,7.53
1735,Duplik,6.97
1736,Trambahn,6.94
1737,Dale of Merchants Collection,7.84
1738,Felicity: The Cat in the Sack,6.56
1739,The Bridges of Shangri-La,6.84
1740,Strat-O-Matic Baseball,7.82
1741,Machi Koro Legacy,6.94
1742,The Russian Campaign,7.33
1743,Altar Quest,7.73
1744,Carrom,7.07
1745,Nefertiti,6.99
1746,Noctiluca,7.12
1747,Xiangqi,7.12
1748,Exodus: Proxima Centauri,7.15
1749,Unlock!: Mystery Adventures – The Tonipal's Treasure,7.00
1750,Big City,6.86
1751,Time's Up! Edición Azul,7.36
1752,Glow,7.06
1753,Odin's Ravens,6.66
1754,Smash Up: Cease and Desist,7.43
1755,Reykholt,6.71
1756,Love Letter: The Hobbit – The Battle of the Five Armies,7.11
1757,Talisman: Revised 4th Edition,6.51
1758,Steam Time,7.09
1759,Sanssouci,7.14
1760,Québec,7.14
1761,Spirits of the Forest,6.84
1762,Antike Duellum,7.07
1763,Factory Funner,7.23
1764,Horizons of Spirit Island,8.43
1765,Krosmaster: Arena,6.72
1766,Forge War,7.19
1767,A Castle for All Seasons,6.73
1768,Exit: The Game – The Haunted Roller Coaster,7.16
1769,My First Carcassonne,6.67
1770,L.L.A.M.A.,6.48
1771,A Game of Thrones: Hand of the King,6.64
1772,Nautilion,7.22
1773,Tsuro of the Seas,6.52
1774,Monumental,7.62
1775,Historia,6.87
1776,Terramara,7.32
1777,DC Comics Dice Masters: Justice League,7.31
1778,Catan: Starfarers,7.63
1779,Burg Appenzell,6.85
1780,Project: ELITE,7.58
1781,Expedition: Northwest Passage,6.97
1782,Sobek: 2 Players,7.21
1783,Diamonds Club,7.05
1784,Steel Driver,6.97
1785,Salem 1692,7.07
1786,5-Minute Marvel,6.81
1787,Fleet: The Dice Game (Second Edition),7.88
1788,Tiny Epic Western,6.64
1789,Cold War: CIA vs KGB,6.62
1790,A Victory Lost: Crisis in Ukraine 1942-1943,7.65
1791,Ra: The Dice Game,6.78
1792,Voyages,7.50
1793,Legend of the Five Rings,7.16
1794,John Company,7.40
1795,Royal Palace,6.87
